Tweet content,date,prediction,Sentiment
@minhnq22 @CVEnew Thank you for providing the reference number. A response will be sent to the email account you used for the ID request.,31/03/2022,0.0,Negative
@secvulf @CVEnew Your request is currently in the process of being assigned to a CNA-LR member. Info here might be… https://t.co/pq0vQmY9IQ,30/03/2022,1.0,Positive
"CVE-2022-1040 
 
https://t.co/dIp13EEwKQ",28/03/2022,1.0,Positive
"@0x6d66 Can you please provide the reference numbers? 
Email does remain the best method for checking on requests,… https://t.co/jihOZgM3RJ",25/03/2022,0.0,Negative
632 CVE Records + their NVD CVSS scores when available in CISA’s Vulnerability Summary bulletin for the week of Mar… https://t.co/19XS05ev7A,24/03/2022,0.0,Negative
"CVE-2022-24415, CVE-2022-24416, CVE-2022-24419, CVE-2022-24420, CVE-2022-24421 
 
https://t.co/IrSKTan2dB",24/03/2022,0.0,Negative
"News for CNAs — 
“CVE Automation Transition Details” is a resource you can use to stay informed about the latest de… https://t.co/auQmkWiUFS",23/03/2022,1.0,Positive
"Hear how @Cisco, a CVE Program partner, leverages the weaknesses in the Common Weakness Enumeration for managing it… https://t.co/oIF3nIN2AX",23/03/2022,1.0,Positive
"We Speak CVE Podcast episode 12 now available! 
“The Latest on Transitioning to CVE Services 2.1 and CVE JSON 5.0”… https://t.co/lpAvy3cMGl",22/03/2022,0.0,Negative
RT @ICSCERT: 🎉 .@CISAgov is happy to announce @Medtronic became part of a coalition of Industrial Control Systems providers sharing #vulner…,22/03/2022,0.0,Negative
Medtronic is now a CVE Numbering Authority (CNA) assigning CVE IDs for all @Medtronic &amp; Medtronic company supported… https://t.co/nIiZeuxugy,22/03/2022,0.0,Negative
@devansh3008 Your request has been received and is currently in the process of being assigned to a CNA-LR member. E… https://t.co/LnBksjoAxl,22/03/2022,1.0,Positive
"Minutes from the CVE Board teleconference meeting on March 16 are now available 
https://t.co/Ybm1ZSKxWT  
 
#CVE… https://t.co/iW1VRNm71P",22/03/2022,1.0,Positive
"@AlbertPriego @CVEnew Hello, can you please provide the reference number that you received for your request? Email… https://t.co/K16n3sBzgh",21/03/2022,0.0,Negative
"Important message for CNAs  — 
A revision to the CVE Services 2.1 deployment schedule will affect when it's availab… https://t.co/Utl15UMt9v",21/03/2022,0.0,Negative
584 CVE Records + their NVD CVSS scores when available in CISA’s Vulnerability Summary bulletin for the week of Mar… https://t.co/BbcvMzu3rZ,16/03/2022,1.0,Positive
"CVE-2022-0778 
 
https://t.co/gYooY2IGiN https://t.co/sJ4JIFB3Wx",16/03/2022,1.0,Positive
@secvulf @CVEnew Your request has been received and is currently in the process of being assigned to a CNA-LR membe… https://t.co/46SO2atWCB,16/03/2022,0.0,Negative
"@skyvast_ @CVEnew Hello, your requests have been received and confirmation emails were sent for both requests. If y… https://t.co/7I7ojJfmBR",15/03/2022,1.0,Positive
375 CVE Records + their NVD CVSS scores when available in CISA’s Vulnerability Summary bulletin for the week of Feb… https://t.co/uBpy0O5qXq,11/03/2022,1.0,Positive
"CVE-2022-21990, CVE-2022-24459, CVE-2022-24512 
 
https://t.co/kk7dgUC6NA",11/03/2022,1.0,Positive
@thecyberinsane @CVEnew New requests are not accepted via email. Please use the https://t.co/U2pIVJmDCN web form to… https://t.co/UzyvOX0X01,10/03/2022,1.0,Positive
JetBrains is now a CVE Numbering Authority (CNA) assigning CVE IDs for @JetBrains products only… https://t.co/3vOfBxVQLL,09/03/2022,1.0,Positive
"@thecyberinsane @CVEnew If you submitted your requests to a CVE email account, please be aware those accounts are n… https://t.co/vtJiiByAUQ",09/03/2022,0.0,Negative
"CVE-2022-0847 
 
https://t.co/4cKyP4fA33",08/03/2022,1.0,Positive
"Minutes from the CVE Board teleconference meeting on March 2 are now available 
https://t.co/cw3dldJAk1  
 
#CVE… https://t.co/tX4UwJzLRK",04/03/2022,0.0,Negative
576 CVE Records + their NVD CVSS scores when available in CISA’s Vulnerability Summary bulletin for the week of Feb… https://t.co/fPxO8xuyWv,04/03/2022,1.0,Positive
@devansh3008 Email confirmation messages are sent when the form is submitted. Please check your email account spam… https://t.co/SyACB4iltP,04/03/2022,0.0,Negative
@devansh3008 @CVEnew Thank you for the reference number. Your request is currently in the process of being assigned… https://t.co/6pZ5lMxINB,02/03/2022,0.0,Negative
"Citrix is now a CVE Numbering Authority (CNA) assigning CVE IDs for @Citrix issues only 
https://t.co/8nMdox1vX4… https://t.co/QbIvrhhKbM",01/03/2022,1.0,Positive
677 CVE Records + their NVD CVSS scores when available in CISA’s Vulnerability Summary bulletin for the week of Feb… https://t.co/fcQNXAvU8a,24/02/2022,1.0,Positive
"Welcome to the CNA community @baxter_intl! 
 
#CVE #Vulnerability #VulnerabilityManagement #Infosec #Cybersecurity… https://t.co/jmi8IJU0IO",23/02/2022,0.0,Negative
"Minutes from the CVE Board teleconference meeting on February 16 are now available 
https://t.co/II7pRoVfiC… https://t.co/cNl09yKLXN",22/02/2022,1.0,Positive
"@D0y0u3v3nl33t @CVEnew @D0y0u3v3nl33t, each of the 210+ CNAs—and both CNAs of Last Resort (CNA-LRs)—have different… https://t.co/C4RRkzoeiO",18/02/2022,1.0,Positive
814 CVE Records + their NVD CVSS scores when available in CISA’s Vulnerability Summary bulletin for the week of Feb… https://t.co/Du1diAaSBh,18/02/2022,1.0,Positive
575 CVE Records + their NVD CVSS scores when available in CISA’s Vulnerability Summary bulletin for the week of Jan… https://t.co/KCcTZ0hwp4,17/02/2022,0.0,Negative
"CVE Blog: ""CVE Program Report for Q4 Calendar Year 2021"" Now Available 
https://t.co/OlLDhQtNOn 
 
#CVE #CNA… https://t.co/5GoRBVfOgR",10/02/2022,0.0,Negative
RT @ICSCERT: 🎉 @CISAgov is happy to announce that Baxter Healthcare became part of a coalition of Industrial Control Systems providers shar…,09/02/2022,0.0,Negative
Baxter Healthcare is now a CVE Numbering Authority (CNA) assigning CVE IDs for Baxter’s commercially available prod… https://t.co/XferWjApma,08/02/2022,0.0,Negative
"Minutes from the CVE Board teleconference meeting on February 2 are now available 
https://t.co/gHOHhpGRvD  
 
#CVE… https://t.co/TFzAHwd73b",07/02/2022,0.0,Negative
584 CVE Records + their NVD CVSS scores when available in CISA’s Vulnerability Summary bulletin for the week of Jan… https://t.co/uQeZ0b8va5,06/02/2022,0.0,Negative
Dutch Institute for Vulnerability Disclosure (DIVD) is now a CVE Numbering Authority (CNA) assigning CVE IDs for is… https://t.co/RfVxP3y0zI,01/02/2022,1.0,Positive
"A BIG WELCOME to the new CVE Numbering Authority (CNA) partner that joined the CVE Program in January!! 
The OpenBM… https://t.co/5YcQ1uLQY8",01/02/2022,1.0,Positive
642 CVE Records + their NVD CVSS scores when available in CISA’s Vulnerability Summary bulletin for the week of Jan… https://t.co/WLobxrTG2m,26/01/2022,0.0,Negative
"CVE Program and Google Expand Partnership 
https://t.co/bECJt2CEwn 
 
#CVE #CVEID #VulnerabilityManagement #Infosec… https://t.co/CiLWJ9Xof6",25/01/2022,1.0,Positive
@___t0___ @MITREcorp Thank you. Your requests have been assigned and a CNA-LR member is addressing them. Responses… https://t.co/1MLlHH3Dyr,25/01/2022,1.0,Positive
"@___t0___ @MITREcorp Can you please provide the reference number(s)? 
Email does remain the best method for checkin… https://t.co/v95LcUjV21",25/01/2022,0.0,Negative
"Minutes from the CVE Board teleconference meeting on January 19 are now available 
https://t.co/4GyABkoR4Y  
 
#CVE… https://t.co/cX3yEtRNNp",24/01/2022,1.0,Positive
"@last0x00 @CVEnew @MITREcorp @Acer @APTortellini Please use the CVE Request web form and select ""Notify CVE about a… https://t.co/8ALB51Cfic",20/01/2022,1.0,Positive
"CVE Blog:  ""CVE List Download Formats Are Changing"" 
 
Beginning in summer 2022, the CVE List downloads will be ava… https://t.co/Y70VUgmaOa",19/01/2022,0.0,Negative
693 CVE Records + their NVD CVSS scores when available in CISA’s Vulnerability Summary bulletin for the week of Jan… https://t.co/z7bExw5LWI,19/01/2022,0.0,Negative
"Welcome to the CNA community @MirantisIT! 
 
#CVE #Vulnerability #VulnerabilityManagement #Infosec #Cybersecurity… https://t.co/hDQD32dsfE",18/01/2022,0.0,Negative
RT @vdanen: This is a great interview on how @RedHat is contributing to the CVE program in so many different ways to continue improving on…,18/01/2022,1.0,Positive
"Minutes from the CVE Board teleconference meeting on January 5 are now available 
https://t.co/KJWFptiLC4  
 
#CVE… https://t.co/rVkQqCvUEq",13/01/2022,1.0,Positive
266 CVE Records + their NVD CVSS scores when available in CISA’s Vulnerability Summary bulletin for the week of Jan… https://t.co/SgM87K46CH,13/01/2022,1.0,Positive
"CVE-2022-21907 
 
https://t.co/Xm2C5kvaFu",13/01/2022,1.0,Positive
@sanpangzi321 @CVEnew Your request has been received and is currently in the process of being assigned to a CNA-LR… https://t.co/zQ9UIK0VgF,13/01/2022,0.0,Negative
RT @Yugabyte: Proud to join the CNA community and help to verify security issues and leverage the wider security community to better protec…,13/01/2022,1.0,Positive
"Welcome to the CNA community @Yugabyte! 
 
#CVE #Vulnerability #VulnerabilityManagement #Infosec #Cybersecurity… https://t.co/JVFYLjZicG",12/01/2022,0.0,Negative
"Major changes coming to (1) CVE Record format JSON, and (2) CVE List content download options… https://t.co/GyPgdKkEHn",12/01/2022,0.0,Negative
OpenBMC is now a CVE Numbering Authority (CNA) assigning CVE IDs for vulnerabilities related to the repositories ma… https://t.co/1eLYge43Ed,11/01/2022,1.0,Positive
483 CVE Records + their NVD CVSS scores when available in CISA’s Vulnerability Summary bulletin for the week of Dec… https://t.co/M9Rl91CGwz,06/01/2022,1.0,Positive
A BIG WELCOME to the 7 new CVE Numbering Authority (CNA) partners that joined the CVE Program in December!!… https://t.co/pV5Mcm2lbq,03/01/2022,1.0,Positive
"CVE-2021-44832 
 
https://t.co/AApIF4bQpn",29/12/2021,1.0,Positive
420 CVE Records + their NVD CVSS scores when available in CISA’s Vulnerability Summary bulletin for the week of Dec… https://t.co/MkG5Asb0r2,28/12/2021,0.0,Negative
A methodology to use the adversary behaviors described in @MITREattack to characterize the impact of vulnerabilitie… https://t.co/RukNabRtmF,28/12/2021,1.0,Positive
"Welcome to the CNA community @erpnext! 
 
#CVE #Vulnerability #VulnerabilityManagement #Infosec #Cybersecurity… https://t.co/A0VnPRP6cF",23/12/2021,1.0,Positive
RT @CISAgov: We published an open-sourced log4j-scanner derived from scanners created by other members of the open-source community. This t…,22/12/2021,0.0,Negative
624 CVE Records + their NVD CVSS scores when available in CISA’s Vulnerability Summary bulletin for the week of Dec… https://t.co/bJ2AIiw6Z9,22/12/2021,0.0,Negative
"VulDB is now a CVE Numbering Authority (CNA) assigning CVE IDs for vulnerabilities discovered by, or reported to th… https://t.co/PSUIsg4RBf",21/12/2021,1.0,Positive
Frappe Technologies is now a CVE Numbering Authority (CNA) assigning CVE IDs for its own products + vulnerabilities… https://t.co/dROi5OcQxH,21/12/2021,1.0,Positive
Rhino Mobility is now a CVE Numbering Authority (CNA) assigning CVE IDs for @MobilityRhino issues only… https://t.co/RBa2EsuKZ0,21/12/2021,1.0,Positive
RT @SushiDude: For software security types - here's a new @CweCapec post with some root cause analysis of the first #Log4Shell vulnerabilit…,21/12/2021,1.0,Positive
"@tbutler0x90 @CVEnew @MITREcorp Please use the CVE Request web form and select ""Notify CVE about a publication"" 
Mo… https://t.co/SwKmr2kOuK",17/12/2021,1.0,Positive
RT @HttpSecHeaders: Very curious to see where the Authorized Data Publisher trial leads…,16/12/2021,1.0,Positive
452 CVE Records + their NVD CVSS scores when available in CISA’s Vulnerability Summary bulletin for the week of Dec… https://t.co/Vfww3Q2R9G,15/12/2021,1.0,Positive
"Minutes from the CVE Board teleconference meeting on December 8 are now available 
https://t.co/20lNHtsIsO  
 
#CVE… https://t.co/WOGQBwghX4",14/12/2021,1.0,Positive
"We Speak CVE Podcast episode 11 now available! 
“Enhancing CVE Records as an Authorized Data Publisher (ADP)”… https://t.co/0reW3jpv9L",14/12/2021,1.0,Positive
"Welcome to the CNA community @VulnScope! 
 
#CVE #Vulnerability #VulnerabilityManagement #Infosec #Cybersecurity… https://t.co/0U3yuXlttj",14/12/2021,0.0,Negative
CVE BLOG: “Our CVE Story: CERT@VDE” by Jochen Becker of CVE Numbering Authority (CNA) @CERTVDE… https://t.co/70zHdLpOSH,14/12/2021,1.0,Positive
Vulnscope is now a CVE Numbering Authority (CNA) assigning CVE IDs for @VulnScope bug bounty and vulnerability coor… https://t.co/QkVI5zDbmn,14/12/2021,1.0,Positive
Mirantis is now a CVE Numbering Authority (CNA) assigning CVE IDs for its own products + vulnerabilities in 3rd-par… https://t.co/VShUlYLWLh,14/12/2021,1.0,Positive
CISA creates vulnerability guidance webpage for the Apache Log4j vulnerability - CVE-2021-44228… https://t.co/IDjs7674hF,14/12/2021,1.0,Positive
264 CVE Records + their NVD CVSS scores when available in CISA’s Vulnerability Summary bulletin for the week of Nov… https://t.co/YjXy8XlsES,10/12/2021,1.0,Positive
"CVE-2021-44228 
 
https://t.co/9hgS9nWzGw",10/12/2021,1.0,Positive
"@devender456 @CVEnew Can you please provide the reference numbers? 
Email does remain the best method for checking… https://t.co/12E6Jqli9H",10/12/2021,1.0,Positive
"Welcome to the CNA community @profelisbilisim! 
 
#CVE #Vulnerability #VulnerabilityManagement #Infosec… https://t.co/IPJs8d5J2X",10/12/2021,0.0,Negative
"CVE Blog: “CVE Global Summit – Fall 2021” 
A collaborative community event focused on improving CVE… https://t.co/7bpEkZfiib",08/12/2021,0.0,Negative
"Welcome to the CNA community @TeamViewer! 
 
#CVE #Vulnerability #VulnerabilityManagement #Infosec #Cybersecurity… https://t.co/ypdbF0ZD3d",08/12/2021,1.0,Positive
TeamViewer is now a CVE Numbering Authority (CNA) assigning CVE IDs for @TeamViewer issues only… https://t.co/OGnVVHinSp,08/12/2021,0.0,Negative
